pert1_avg,pert2_avg,pert3_avg,pert4_avg,origin_avg
2.6206116676330566,2.1698973178863525,2.9432833989461265,2.3525729974110923,1.9582847754160564
2.6545256773630777,1.8901450634002686,3.10555370648702,2.9628244241078696,2.002441724141439
3.0307483673095703,2.044126351674398,2.4330503940582275,3.267817258834839,2.289403279622396
3.2799923419952393,2.686359087626139,2.631488005320231,1.9996600151062012,1.92106032371521
2.7868119875590005,2.5196553071339927,2.2801880836486816,2.2736409505208335,1.7178397178649902
2.623057206471761,2.276222308476766,2.989921728769938,2.306678295135498,2.8964086373647056
2.1220389207204184,2.4332916736602783,2.10943333307902,2.52852733929952,2.009859641393026
2.046576738357544,2.5168254375457764,3.2899810473124185,2.7412221431732178,3.73350461324056
2.6331507364908853,2.3823219935099282,2.248340686162313,2.701478640238444,2.486871321996053
2.226862907409668,2.884509722391764,2.229134956995646,2.3514193693796797,3.0013532638549805
2.533696174621582,2.5448647340138755,2.755171060562134,1.785945971806844,3.9960506757100425
3.725411891937256,2.652588685353597,2.791865587234497,2.5680743058522544,2.746973991394043
1.8700076738993328,2.592668056488037,2.405275026957194,2.189752737681071,2.050356308619181
2.306488275527954,2.0288636684417725,2.1954456170399985,2.5349937280019126,2.5249760150909424
2.1634321212768555,2.4103819529215493,2.102826992670695,2.5435267289479575,2.8484376271565757
2.300260305404663,3.442027727762858,2.6666193008422856,2.1411946614583335,2.487208286921183
1.8294800122578938,2.8886080582936606,2.623253345489502,2.768538316090902,2.361729303995768
2.144495646158854,2.5928056240081787,2.4950053691864014,2.266902526219686,2.122629960378011
2.3884926637013755,1.9109946886698406,3.0515265464782715,2.5158491134643555,2.1107587019602456
2.4563029607137046,2.603532632191976,2.715739647547404,2.2100393772125244,2.6613620122273765
2.903096556663513,2.692375342051188,2.0701287587483725,2.447623332341512,2.4452012379964194
2.29686705271403,2.606841961542765,2.749668916066488,2.4727779229482016,2.3189586798350015
2.9129950205485025,3.775649309158325,2.1991926034291587,2.1350526809692383,2.5347283681233725
3.2555320262908936,2.4572513103485107,2.6391890048980713,2.180169661839803,2.238520383834839
2.431011358896891,2.203104098637899,2.514791965484619,2.1032277743021646,3.248188336690267
2.151602029800415,2.7822705507278442,2.627038558324178,2.5701889991760254,2.279865344365438
2.939364035924276,2.5884033838907876,2.4473403294881186,3.2478676637013755,2.763674736022949
2.179967006047567,2.9086610476175943,2.4936049779256186,2.474298079808553,3.0318146546681723
2.2911132176717124,2.9276336034139,2.789389689763387,2.103118658065796,2.385751008987427
2.372607707977295,2.0870909690856934,2.663347323735555,2.2463037172953286,1.721746603647868
2.1589643160502114,2.8637799421946206,2.314626693725586,2.2630409399668374,2.29317299524943
2.863970677057902,2.1446986198425293,2.3703890641530356,2.3381906350453696,3.7274479071299234
2.1851603190104165,2.38002602259318,2.5112133026123047,2.600569725036621,2.8468507130940757
2.2713549931844077,2.915904680887858,2.163010279337565,3.2869837284088135,3.4390289783477783
1.804488738377889,3.0682385762532554,2.7985382874806723,2.416722218195597,2.4209097226460776
2.481902281443278,2.54644505182902,2.610180616378784,2.4872916539510093,2.601099650065104
2.0862239996592202,2.978920062383016,2.5012046496073403,2.5167866547902427,2.7871310710906982
2.4125430583953857,2.510081688563029,2.5210843880971274,2.2887442906697593,1.98247234026591
2.2677789529164634,3.161176919937134,3.207616647084554,2.1580228010813394,2.4111353556315103
2.868345340092977,2.197260618209839,2.173992395401001,2.115069309870402,2.306974013646444
2.606325387954712,2.7427175839742026,2.765488306681315,2.1387914021809897,2.3946224053700766
2.4845377604166665,2.4067304134368896,2.1259119510650635,2.0565613905588784,2.10761292775472
2.5129053592681885,2.1058576107025146,2.3020206292470298,2.788313388824463,2.247983694076538
2.3636602560679116,2.381901582082113,1.8990549246470134,2.0122594038645425,2.3272670904795327
2.5312370459238687,2.2399792671203613,2.284719626108805,2.8280420303344727,3.4974812666575112
3.4305986563364663,2.9064690272013345,2.404390335083008,2.1180357138315835,3.4496123790740967
1.884447018305461,2.2773310343424478,2.575560967127482,2.175537586212158,2.8611616293589273
2.5693493684132895,2.039428393046061,2.7250912189483643,2.7314584255218506,2.1379756927490234
2.7507943312327066,2.1671326955159507,3.257166941960653,2.062342405319214,2.421556234359741
3.1628708839416504,2.570414384206136,2.5481886863708496,2.8071560064951577,2.5105229218800864
